payment_id,member_id,date,amount,status,payment_method
9ca0affd-aca3-46b4-b6ad-1ff49888b8eb,M0000,2023-10-17,29,success,bank_transfer
55d34500-bfb7-4e94-9ef9-39f7977ffd84,M0000,2023-11-16,29,success,credit_card
cb658bd7-fbdd-4ca3-ac70-af5dd0d8e4bb,M0000,2023-12-16,29,success,credit_card
7717894e-9fd6-424b-83a6-3759e2c1997e,M0000,2024-01-15,29,success,credit_card
367fbe9d-c0e4-4ba6-8c4b-5ba565e20347,M0000,2024-02-14,29,success,bank_transfer
5163c65f-28c5-4be4-a384-11b9df471ca9,M0000,2024-03-15,29,success,debit_card
4afa77ff-16eb-4949-8bd7-d9f0847ea3bb,M0000,2024-04-14,29,success,debit_card
c3fda158-eaf1-41e3-a51c-64147de87e69,M0001,2022-04-15,99,success,debit_card
6bec2cef-000b-4e31-952a-95510a68545b,M0001,2022-05-15,99,success,credit_card
d504519b-70e4-460b-a916-a45312d7ffa2,M0001,2022-06-14,99,success,credit_card
fbe4b0e8-aab0-4998-9e9a-f4b371e2629f,M0001,2022-07-14,99,success,credit_card
f2e7033e-1b36-450c-ac8d-f21cbb70a187,M0001,2022-08-13,99,success,bank_transfer
8d2ccb4b-1496-475f-a3f8-9e301d512a04,M0001,2022-09-12,99,success,credit_card
cb691c3c-b3de-4c56-8c6b-24b93aaf4735,M0001,2022-10-12,99,success,debit_card
a9dad589-1491-4426-88ea-9df3ec5fd863,M0001,2022-11-11,99,success,credit_card
0780438a-c0d3-44cc-8f15-d499c3ca121d,M0001,2022-12-11,99,success,bank_transfer
151f869f-ff11-48ef-84df-32bdc3599536,M0001,2023-01-10,99,success,debit_card
126fe9a7-9ce3-46dd-abd7-e67e3800fbfe,M0001,2023-02-09,99,success,bank_transfer
2e23cbb1-f06a-4d19-9614-8f9a0ecee538,M0001,2023-03-11,99,success,bank_transfer
5210c718-7942-4eff-bcfb-eb3845b4793d,M0001,2023-04-10,99,success,credit_card
47660876-23eb-43f4-94b3-0d2fea6ab10d,M0001,2023-05-10,99,success,credit_card
94c6bbeb-c493-42fa-93da-63c89a974cba,M0001,2023-06-09,99,success,bank_transfer
d8e40a3c-b4f3-44ce-b9a3-b8f5dea02185,M0001,2023-07-09,99,success,debit_card
a622ad37-1f2b-46d8-bb47-66e9fb1797b2,M0001,2023-08-08,99,success,credit_card
1080ece0-7eb1-47e6-b464-9ab1079ce07e,M0001,2023-09-07,99,success,debit_card
b5e2e0fa-e2b5-40c1-8cf9-df2faa4b7730,M0001,2023-10-07,99,success,bank_transfer
c3c532e4-b763-473f-af8f-304a6fe1ec9b,M0001,2023-11-06,99,success,credit_card
9456cfa4-7547-49b6-a254-9378e184f500,M0001,2023-12-06,99,success,debit_card
e2edf829-ced4-4555-8a88-f378d2ee24fe,M0001,2024-01-05,99,failed,credit_card
7b4c71a6-6655-45f2-9391-d3e59314b3ea,M0001,2024-02-04,99,success,bank_transfer
07900818-75ba-4870-91f7-b892e302201c,M0001,2024-03-05,99,success,credit_card
c7d7847b-fad8-41c9-9a90-f2c10f390154,M0001,2024-04-04,99,success,bank_transfer
186b54d3-faa3-4811-a32b-1644dd54fb24,M0001,2024-05-04,99,success,debit_card
afede3fe-07c3-4eaf-bfae-b8d7b00ad337,M0002,2023-03-09,29,success,bank_transfer
5a902743-f174-4671-8689-1eff8f8e5bae,M0002,2023-04-08,29,success,bank_transfer
7f2f0210-310e-4d54-a35b-8da88a5105a9,M0002,2023-05-08,29,success,bank_transfer
24be4129-02fd-4e3a-975d-dafce21bc3fd,M0002,2023-06-07,29,success,bank_transfer
